Rollno,Name,Gender,Caste,PWD,Rank,prefl,Seat Allotted,Preference Number
XYZ0009,student3861,F,Res,No,4428,"[['NITG', 'AGRI'], ['MNNIT', 'ECE'], ['VNIT', 'CSE'], ['NITT', 'ECE'], ['NITK', 'ECE'], ['NITC', 'CSE'], ['NITK', 'ECE'], ['NITG', 'ECE'], ['NITG', 'CSE'], ['MNNIT', 'ECE']]","Sorry, you got no seat",0
XYZ0011,student1926,M,Res,No,971,"[['NITB', 'CSE'], ['NITK', 'MECH'], ['NITC', 'CSE'], ['NITC', 'MECH'], ['VNIT', 'MECH'], ['NITAP', 'CSE']]","['NITB', 'CSE']",1
XYZ0012,student4037,M,Res,No,4412,"[['NITAP', 'CSE'], ['NITAP', 'MECH'], ['MNNIT', 'MECH'], ['NITC', 'CSE'], ['NITG', 'CSE'], ['NITT', 'ECE'], ['NITK', 'ECE'], ['NITC', 'ECE'], ['NITK', 'MECH'], ['MNNIT', 'ECE']]","Sorry, you got no seat",0
XYZ0012,student2417,M,Res,No,82,"[['NITK', 'CIVIL'], ['MNNIT', 'MECH'], ['NITB', 'ECE'], ['NITK', 'CSE'], ['NITG', 'MECH'], ['NITK', 'MECH'], ['NITT', 'CSE'], ['NITC', 'ECE'], ['NITB', 'CSE']]","['NITK', 'CIVIL']",1
XYZ0012,student2365,M,Gen,No,2397,"[['NITC', 'CIVIL'], ['NITG', 'MECH'], ['NITG', 'ECE']]","Sorry, you got no seat",0
XYZ0015,student1164,M,Gen,No,3847,"[['NITC', 'CIVIL'], ['NITB', 'ECE'], ['NITB', 'MECH'], ['NITK', 'CSE'], ['NITG', 'ECE'], ['NITB', 'MECH'], ['NITG', 'MECH'], ['NITK', 'CSE'], ['NITAP', 'MECH'], ['NITAP', 'MECH']]","Sorry, you got no seat",0
XYZ0015,student3497,M,Res,No,635,"[['VNIT', 'ECE'], ['NITG', 'ECE'], ['NITC', 'MECH'], ['NITAP', 'CSE'], ['VNIT', 'MECH'], ['NITB', 'ECE']]","['VNIT', 'ECE']",1
XYZ0016,student3431,M,Gen,No,3623,"[['NITC', 'AGRI'], ['NITG', 'ECE'], ['MNNIT', 'CSE'], ['NITG', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'MECH'], ['VNIT', 'ECE'], ['VNIT', 'ECE'], ['VNIT', 'CSE'], ['SVNIT', 'ECE']]","Sorry, you got no seat",0
XYZ0017,student3254,M,Res,No,2239,"[['VNIT', 'CSE'], ['NITB', 'ECE'], ['NITG', 'CSE']]","['VNIT', 'CSE']",1
XYZ0018,student348,M,Gen,No,1558,"[['NITC', 'CIVIL'], ['NITC', 'CSE'], ['NITK', 'ECE'], ['NITK', 'MECH'], ['NITC', 'MECH']]","['NITC', 'CIVIL']",1
XYZ0018,student3296,F,Gen,No,3029,"[['NITC', 'ECE'], ['VNIT', 'ECE'], ['NITAP', 'MECH']]","Sorry, you got no seat",0
XYZ0018,student661,F,Res,No,2607,"[['MNNIT', 'AGRI'], ['NITB', 'CSE'], ['NITG', 'ECE'], ['SVNIT', 'ECE'], ['NITK', 'CSE'], ['NITK', 'MECH'], ['SVNIT', 'MECH'], ['NITK', 'CSE'], ['NITT', 'MECH'], ['SVNIT', 'ECE']]","['MNNIT', 'AGRI']",1
XYZ0020,student4659,M,Gen,Yes,2942,"[['VNIT', 'CSE'], ['MNNIT', 'MECH'], ['MNNIT', 'ECE'], ['NITAP', 'CSE'], ['NITC', 'CSE'], ['NITT', 'ECE'], ['NITT', 'MECH'], ['NITG', 'CSE'], ['NITG', 'CSE'], ['SVNIT', 'MECH']]","['VNIT', 'CSE']",1
XYZ0022,student2295,M,Gen,No,1085,"[['VNIT', 'ECE'], ['MNNIT', 'MECH'], ['SVNIT', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'CSE'], ['NITAP', 'MECH']]","['VNIT', 'ECE']",1
XYZ0022,student2242,F,Gen,Yes,1268,"[['VNIT', 'ECE'], ['NITAP', 'CSE'], ['VNIT', 'MECH'], ['NITK', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'ECE'], ['NITB', 'MECH']]","['VNIT', 'ECE']",1
XYZ0023,student1738,M,Gen,No,1433,"[['NITC', 'ECE'], ['VNIT', 'CSE'], ['VNIT', 'CSE']]","['VNIT', 'CSE']",2
XYZ0024,student4531,M,Gen,No,644,"[['NITG', 'CIVIL'], ['SVNIT', 'MECH'], ['NITG', 'ECE'], ['NITB', 'CSE'], ['NITC', 'MECH'], ['NITK', 'MECH']]","['NITG', 'CIVIL']",1
XYZ0025,student3799,M,Gen,No,3352,"[['NITK', 'CIVIL'], ['NITT', 'CSE'], ['NITK', 'MECH'], ['MNNIT', 'CSE'], ['NITB', 'MECH']]","['NITK', 'CIVIL']",1
XYZ0025,student1791,M,Res,No,1209,"[['NITAP', 'ECE'], ['VNIT', 'ECE'], ['NITT', 'MECH'], ['NITT', 'MECH'], ['NITB', 'CSE'], ['NITT', 'ECE'], ['NITG', 'MECH'], ['SVNIT', 'ECE'], ['NITAP', 'CSE'], ['NITAP', 'ECE']]","['NITAP', 'ECE']",1
XYZ0025,student2126,F,Gen,No,1919,"[['NITB', 'CSE'], ['NITG', 'CSE'], ['NITB', 'MECH'], ['NITAP', 'MECH'], ['NITG', 'CSE'], ['VNIT', 'CSE'], ['VNIT', 'CSE'], ['MNNIT', 'MECH'], ['NITB', 'ECE'], ['NITT', 'MECH']]","['NITB', 'CSE']",1
XYZ0025,student799,F,Gen,No,3760,"[['NITAP', 'MECH'], ['NITB', 'MECH'], ['SVNIT', 'ECE']]","Sorry, you got no seat",0
XYZ0025,student237,M,Gen,No,4945,"[['VNIT', 'CSE'], ['NITT', 'ECE'], ['NITC', 'MECH'], ['SVNIT', 'MECH'], ['NITAP', 'CSE'], ['NITT', 'ECE']]","Sorry, you got no seat",0
XYZ0026,student666,M,Res,No,886,"[['NITC', 'AGRI'], ['NITG', 'ECE'], ['MNNIT', 'MECH'], ['NITC', 'CSE'], ['VNIT', 'MECH']]","['NITC', 'AGRI']",1
XYZ0028,student4382,F,Res,No,1662,"[['NITT', 'CSE'], ['NITG', 'MECH'], ['NITG', 'ECE'], ['VNIT', 'ECE'], ['NITAP', 'MECH'], ['MNNIT', 'MECH'], ['NITAP', 'MECH'], ['NITC', 'CSE'], ['NITC', 'MECH'], ['NITB', 'CSE']]","['NITT', 'CSE']",1
XYZ0029,student1512,M,Gen,No,1973,"[['NITT', 'ECE'], ['NITK', 'MECH'], ['NITG', 'MECH'], ['MNNIT', 'ECE'], ['NITT', 'CSE'], ['NITT', 'MECH'], ['SVNIT', 'MECH'], ['NITT', 'MECH'], ['NITB', 'CSE'], ['SVNIT', 'CSE']]","['NITK', 'MECH']",2
XYZ0029,student2550,F,Res,Yes,630,"[['SVNIT', 'CIVIL'], ['NITC', 'ECE'], ['NITC', 'CSE'], ['NITT', 'MECH'], ['VNIT', 'CSE'], ['NITB', 'MECH'], ['NITG', 'CSE'], ['NITG', 'CSE']]","['NITC', 'CSE']",3
XYZ0030,student3011,F,Gen,No,2428,"[['VNIT', 'ECE'], ['MNNIT', 'ECE'], ['NITB', 'MECH'], ['NITG', 'ECE']]","Sorry, you got no seat",0
XYZ0031,student2407,M,Gen,No,10,"[['VNIT', 'CIVIL'], ['NITT', 'MECH'], ['NITG', 'MECH'], ['NITT', 'MECH']]","['VNIT', 'CIVIL']",1
XYZ0032,student640,M,Res,No,4080,"[['VNIT', 'ECE'], ['NITG', 'CSE'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['NITG', 'CSE'], ['MNNIT', 'CSE'], ['MNNIT', 'MECH'], ['NITG', 'MECH'], ['NITG', 'MECH'], ['NITG', 'CSE']]","Sorry, you got no seat",0
XYZ0032,student3271,M,Res,No,1716,"[['MNNIT', 'MECH'], ['NITC', 'MECH'], ['VNIT', 'ECE'], ['NITB', 'ECE'], ['SVNIT', 'CSE'], ['NITC', 'ECE'], ['SVNIT', 'MECH'], ['NITT', 'CSE'], ['NITAP', 'CSE'], ['SVNIT', 'MECH']]","['MNNIT', 'MECH']",1
XYZ0033,student3877,F,Gen,No,1774,"[['NITB', 'ECE'], ['VNIT', 'ECE'], ['NITG', 'MECH'], ['SVNIT', 'ECE'], ['MNNIT', 'CSE']]","['VNIT', 'ECE']",2
XYZ0034,student2440,M,Gen,No,2981,"[['NITC', 'CIVIL'], ['NITB', 'ECE'], ['NITT', 'MECH'], ['NITK', 'CSE'], ['NITK', 'ECE']]","Sorry, you got no seat",0
XYZ0036,student3856,F,Res,No,3075,"[['MNNIT', 'ECE'], ['MNNIT', 'CSE'], ['VNIT', 'CSE'], ['MNNIT', 'MECH'], ['VNIT', 'ECE'], ['NITG', 'CSE'], ['NITG', 'ECE'], ['MNNIT', 'CSE'], ['NITC', 'MECH'], ['NITG', 'CSE']]","['MNNIT', 'ECE']",1
XYZ0036,student4143,F,Gen,No,3034,"[['NITAP', 'CSE'], ['VNIT', 'CSE'], ['NITT', 'CSE'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['NITG', 'CSE'], ['NITAP', 'MECH'], ['VNIT', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0036,student336,F,Gen,No,3369,"[['VNIT', 'AGRI'], ['NITT', 'MECH'], ['NITG', 'CSE'], ['NITC', 'ECE'], ['NITAP', 'ECE']]","Sorry, you got no seat",0
XYZ0037,student2842,M,Res,No,1892,"[['NITG', 'CIVIL'], ['MNNIT', 'ECE'], ['VNIT', 'MECH'], ['NITAP', 'MECH'], ['NITT', 'ECE'], ['NITB', 'MECH'], ['VNIT', 'MECH'], ['NITAP', 'ECE'], ['VNIT', 'CSE'], ['NITG', 'MECH']]","['NITG', 'CIVIL']",1
XYZ0037,student2297,M,Gen,No,4472,"[['NITT', 'CIVIL'], ['NITT', 'CSE'], ['NITK', 'ECE'], ['NITG', 'ECE'], ['VNIT', 'ECE'], ['NITAP', 'MECH'], ['NITK', 'ECE']]","Sorry, you got no seat",0
XYZ0040,student199,M,Gen,No,1827,"[['SVNIT', 'AGRI'], ['SVNIT', 'CSE'], ['NITC', 'ECE'], ['SVNIT', 'MECH'], ['NITT', 'MECH'], ['NITB', 'MECH'], ['SVNIT', 'ECE'], ['NITG', 'MECH'], ['NITT', 'CSE'], ['NITT', 'MECH']]","['SVNIT', 'AGRI']",1
XYZ0041,student1348,M,Gen,No,37,"[['NITB', 'AGRI'], ['NITK', 'CSE'], ['NITB', 'MECH'], ['MNNIT', 'ECE'], ['NITG', 'MECH'], ['VNIT', 'CSE'], ['NITK', 'ECE'], ['NITC', 'ECE'], ['NITAP', 'MECH']]","['NITB', 'AGRI']",1
XYZ0041,student4438,M,Gen,No,1239,"[['NITG', 'CSE'], ['NITC', 'CSE'], ['NITG', 'ECE'], ['NITG', 'MECH'], ['NITAP', 'MECH'], ['NITT', 'CSE'], ['MNNIT', 'MECH'], ['NITK', 'ECE'], ['NITC', 'CSE']]","['NITG', 'CSE']",1
XYZ0042,student3814,M,Gen,No,624,"[['NITC', 'CSE'], ['MNNIT', 'MECH'], ['NITG', 'CSE'], ['MNNIT', 'ECE'], ['NITG', 'MECH'], ['NITT', 'ECE'], ['MNNIT', 'ECE'], ['NITG', 'MECH'], ['NITG', 'MECH'], ['MNNIT', 'MECH']]","['NITC', 'CSE']",1
XYZ0043,student894,M,Gen,No,2083,"[['NITG', 'CIVIL'], ['NITG', 'MECH'], ['NITC', 'MECH']]","Sorry, you got no seat",0
XYZ0045,student3653,M,Res,No,832,"[['NITAP', 'MECH'], ['NITG', 'MECH'], ['SVNIT', 'CSE'], ['SVNIT', 'CSE']]","['NITAP', 'MECH']",1
XYZ0047,student1105,M,Res,No,2943,"[['NITC', 'AGRI'], ['SVNIT', 'MECH'], ['VNIT', 'MECH'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['VNIT', 'CSE'], ['NITAP', 'ECE']]","['VNIT', 'MECH']",3
XYZ0052,student604,M,Gen,No,4815,"[['NITG', 'CIVIL'], ['NITK', 'MECH'], ['NITT', 'CSE'], ['NITK', 'CSE'], ['NITT', 'CSE'], ['NITT', 'MECH'], ['MNNIT', 'ECE'], ['NITG', 'MECH'], ['NITB', 'MECH'], ['NITAP', 'CSE']]","Sorry, you got no seat",0
XYZ0052,student779,M,Res,No,3395,"[['NITAP', 'CIVIL'], ['NITAP', 'MECH'], ['NITC', 'MECH'], ['MNNIT', 'CSE'], ['MNNIT', 'CSE'], ['MNNIT', 'ECE'], ['NITT', 'CSE'], ['SVNIT', 'CSE'], ['VNIT', 'CSE'], ['NITAP', 'CSE']]","['MNNIT', 'CSE']",4
XYZ0055,student2053,M,Res,No,3309,"[['MNNIT', 'AGRI'], ['NITG', 'MECH'], ['NITT', 'MECH'], ['NITG', 'MECH'], ['NITC', 'ECE'], ['NITAP', 'MECH'], ['NITB', 'ECE'], ['VNIT', 'CSE'], ['NITB', 'MECH'], ['MNNIT', 'ECE']]","['MNNIT', 'AGRI']",1
XYZ0056,student4194,M,Res,No,1211,"[['NITG', 'CIVIL'], ['NITG', 'CSE'], ['NITAP', 'CSE'], ['SVNIT', 'CSE'], ['NITG', 'CSE'], ['NITG', 'CSE'], ['NITB', 'MECH'], ['NITK', 'ECE'], ['NITB', 'CSE'], ['NITG', 'ECE']]","['NITG', 'CIVIL']",1
XYZ0057,student4728,F,Res,No,146,"[['MNNIT', 'ECE'], ['NITAP', 'ECE'], ['NITB', 'ECE'], ['NITAP', 'MECH'], ['NITAP', 'CSE'], ['NITK', 'ECE'], ['NITG', 'MECH'], ['NITT', 'MECH'], ['NITG', 'ECE'], ['NITB', 'ECE']]","['MNNIT', 'ECE']",1
XYZ0059,student2081,M,Gen,No,4079,"[['NITB', 'ECE'], ['MNNIT', 'ECE'], ['SVNIT', 'ECE'], ['NITG', 'ECE'], ['NITT', 'CSE'], ['NITB', 'MECH'], ['NITAP', 'CSE'], ['MNNIT', 'MECH'], ['SVNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0059,student1627,F,Gen,No,1215,"[['NITC', 'AGRI'], ['VNIT', 'CSE'], ['NITC', 'MECH'], ['SVNIT', 'CSE'], ['NITAP', 'CSE'], ['NITK', 'ECE'], ['MNNIT', 'CSE'], ['NITC', 'CSE'], ['NITG', 'MECH'], ['NITG', 'MECH']]","['NITC', 'AGRI']",1
XYZ0061,student3535,M,Res,No,4699,"[['NITT', 'MECH'], ['NITC', 'ECE'], ['NITB', 'ECE'], ['NITB', 'MECH']]","Sorry, you got no seat",0
XYZ0062,student456,M,Gen,No,4905,"[['VNIT', 'CSE'], ['NITAP', 'MECH'], ['NITG', 'MECH'], ['VNIT', 'MECH'], ['NITB', 'MECH'], ['NITAP', 'ECE'], ['SVNIT', 'MECH'], ['NITG', 'MECH'], ['NITAP', 'CSE'], ['NITB', 'ECE']]","Sorry, you got no seat",0
XYZ0062,student1470,M,Gen,No,3322,"[['NITG', 'AGRI'], ['MNNIT', 'ECE'], ['NITB', 'MECH']]","Sorry, you got no seat",0
XYZ0063,student170,M,Gen,No,660,"[['NITB', 'MECH'], ['NITG', 'ECE'], ['NITK', 'CSE']]","['NITB', 'MECH']",1
XYZ0063,student4115,M,Res,No,2392,"[['NITC', 'AGRI'], ['NITK', 'MECH'], ['NITG', 'CSE']]","['NITC', 'AGRI']",1
XYZ0064,student3673,F,Gen,No,361,"[['NITG', 'AGRI'], ['NITB', 'MECH'], ['NITAP', 'ECE'], ['NITT', 'MECH'], ['NITB', 'ECE'], ['MNNIT', 'CSE'], ['NITAP', 'CSE'], ['NITC', 'ECE'], ['NITT', 'MECH'], ['MNNIT', 'ECE']]","['NITG', 'AGRI']",1
XYZ0064,student2796,M,Res,No,189,"[['NITAP', 'CIVIL'], ['NITK', 'MECH'], ['VNIT', 'ECE'], ['NITC', 'MECH'], ['NITT', 'MECH'], ['NITC', 'ECE'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['NITT', 'MECH'], ['VNIT', 'MECH']]","['NITK', 'MECH']",2
XYZ0065,student2903,M,Gen,No,674,"[['NITC', 'MECH'], ['NITG', 'MECH'], ['NITK', 'CSE'], ['NITT', 'ECE'], ['NITB', 'CSE'], ['NITK', 'ECE'], ['NITT', 'CSE'], ['NITC', 'CSE'], ['MNNIT', 'CSE'], ['NITG', 'CSE']]","['NITC', 'MECH']",1
XYZ0065,student722,F,Gen,No,3313,"[['NITAP', 'AGRI'], ['NITK', 'CSE'], ['NITB', 'ECE'], ['NITAP', 'ECE'], ['MNNIT', 'CSE'], ['NITG', 'CSE'], ['SVNIT', 'MECH'], ['NITK', 'CSE'], ['SVNIT', 'MECH'], ['VNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0069,student3203,F,Gen,No,3043,"[['NITK', 'ECE'], ['NITG', 'CSE'], ['VNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0071,student1498,M,Gen,Yes,2555,"[['NITG', 'MECH'], ['MNNIT', 'CSE'], ['NITG', 'CSE'], ['SVNIT', 'MECH'], ['NITAP', 'MECH']]","['NITG', 'MECH']",1
XYZ0071,student172,F,Gen,No,3006,"[['NITB', 'ECE'], ['MNNIT', 'MECH'], ['NITB', 'CSE'], ['NITK', 'ECE'], ['MNNIT', 'ECE'], ['MNNIT', 'ECE'], ['NITT', 'ECE'], ['NITG', 'MECH']]","Sorry, you got no seat",0
XYZ0072,student4697,F,Res,No,403,"[['VNIT', 'AGRI'], ['VNIT', 'ECE'], ['NITT', 'CSE'], ['NITK', 'MECH']]","['VNIT', 'AGRI']",1
XYZ0072,student967,M,Res,No,3258,"[['VNIT', 'CIVIL'], ['NITB', 'ECE'], ['NITC', 'CSE'], ['MNNIT', 'MECH'], ['NITB', 'MECH'], ['NITB', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'ECE'], ['NITB', 'MECH'], ['NITG', 'ECE']]","['VNIT', 'CIVIL']",1
XYZ0075,student1531,M,Res,No,325,"[['NITAP', 'AGRI'], ['NITB', 'CSE'], ['NITC', 'ECE'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['MNNIT', 'MECH'], ['MNNIT', 'MECH'], ['SVNIT', 'ECE'], ['NITAP', 'CSE'], ['NITC', 'CSE']]","['NITAP', 'AGRI']",1
XYZ0076,student3802,M,Gen,No,3445,"[['SVNIT', 'AGRI'], ['NITAP', 'MECH'], ['NITB', 'MECH'], ['NITT', 'ECE'], ['MNNIT', 'MECH'], ['MNNIT', 'ECE'], ['NITK', 'MECH'], ['NITT', 'MECH'], ['NITG', 'ECE'], ['NITAP', 'ECE']]","Sorry, you got no seat",0
XYZ0077,student706,F,Res,No,6,"[['VNIT', 'CSE'], ['NITK', 'MECH'], ['NITG', 'MECH'], ['NITG', 'MECH'], ['SVNIT', 'CSE'], ['NITG', 'CSE'], ['SVNIT', 'CSE'], ['NITK', 'ECE'], ['NITC', 'MECH'], ['VNIT', 'MECH']]","['VNIT', 'CSE']",1
XYZ0077,student2019,M,Res,No,4161,"[['NITT', 'AGRI'], ['NITG', 'CSE'], ['MNNIT', 'ECE'], ['NITT', 'ECE'], ['VNIT', 'MECH'], ['NITB', 'ECE'], ['NITB', 'MECH'], ['NITG', 'CSE'], ['NITB', 'MECH'], ['MNNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0078,student4472,M,Res,No,4530,"[['NITT', 'CSE'], ['NITB', 'MECH'], ['NITC', 'MECH'], ['NITB', 'ECE'], ['NITG', 'MECH']]","Sorry, you got no seat",0
XYZ0079,student872,F,Gen,No,782,"[['NITK', 'MECH'], ['NITT', 'ECE'], ['SVNIT', 'CSE'], ['NITAP', 'CSE'], ['VNIT', 'MECH'], ['NITT', 'MECH'], ['NITC', 'CSE'], ['NITG', 'CSE'], ['NITC', 'MECH'], ['VNIT', 'CSE']]","['NITK', 'MECH']",1
XYZ0079,student4273,M,Gen,No,3038,"[['NITG', 'AGRI'], ['NITG', 'CSE'], ['SVNIT', 'ECE'], ['VNIT', 'MECH'], ['NITG', 'CSE'], ['NITG', 'MECH']]","Sorry, you got no seat",0
XYZ0084,student4602,F,Gen,No,3757,"[['NITG', 'ECE'], ['VNIT', 'MECH'], ['NITC', 'MECH'], ['NITG', 'MECH'], ['NITB', 'MECH'], ['NITAP', 'ECE'], ['NITC', 'MECH'], ['NITK', 'ECE']]","Sorry, you got no seat",0
XYZ0084,student3283,M,Gen,No,2017,"[['NITG', 'CIVIL'], ['NITB', 'MECH'], ['NITK', 'ECE'], ['NITT', 'ECE'], ['NITG', 'CSE'], ['NITK', 'CSE'], ['SVNIT', 'MECH'], ['MNNIT', 'MECH'], ['NITK', 'CSE'], ['NITT', 'CSE']]","['NITK', 'CSE']",6
XYZ0084,student3523,M,Gen,No,29,"[['VNIT', 'CSE'], ['NITC', 'MECH'], ['VNIT', 'ECE'], ['NITG', 'CSE'], ['NITB', 'ECE']]","['VNIT', 'CSE']",1
XYZ0087,student2879,M,Gen,No,1107,"[['VNIT', 'CIVIL'], ['VNIT', 'CSE'], ['MNNIT', 'CSE'], ['NITG', 'MECH'], ['SVNIT', 'CSE'], ['NITAP', 'MECH'], ['NITK', 'MECH'], ['NITT', 'ECE'], ['MNNIT', 'ECE'], ['NITC', 'MECH']]","['VNIT', 'CIVIL']",1
XYZ0089,student1385,M,Res,No,2696,"[['MNNIT', 'CSE'], ['NITB', 'CSE'], ['VNIT', 'MECH'], ['VNIT', 'MECH'], ['NITAP', 'ECE'], ['NITC', 'CSE'], ['NITK', 'ECE'], ['NITG', 'CSE'], ['NITG', 'ECE'], ['NITAP', 'MECH']]","['MNNIT', 'CSE']",1
XYZ0089,student3789,M,Gen,No,3347,"[['NITT', 'CSE'], ['NITG', 'ECE'], ['NITG', 'ECE'], ['SVNIT', 'CSE'], ['NITG', 'CSE'], ['NITG', 'MECH'], ['MNNIT', 'MECH'], ['NITT', 'CSE'], ['NITAP', 'ECE'], ['NITAP', 'MECH']]","Sorry, you got no seat",0
XYZ0089,student1352,M,Res,No,1491,"[['NITB', 'ECE'], ['MNNIT', 'ECE'], ['MNNIT', 'CSE'], ['NITG', 'ECE'], ['NITAP', 'ECE'], ['NITG', 'MECH'], ['NITT', 'MECH'], ['MNNIT', 'CSE'], ['NITG', 'CSE'], ['SVNIT', 'ECE']]","['NITB', 'ECE']",1
XYZ0090,student140,F,Gen,No,4834,"[['NITT', 'MECH'], ['NITAP', 'MECH'], ['NITG', 'CSE'], ['NITB', 'CSE'], ['VNIT', 'ECE'], ['VNIT', 'ECE'], ['NITK', 'ECE'], ['NITT', 'CSE'], ['NITT', 'MECH'], ['NITG', 'CSE']]","Sorry, you got no seat",0
XYZ0090,student4201,M,Gen,No,3636,"[['NITB', 'MECH'], ['NITT', 'MECH'], ['NITAP', 'MECH'], ['NITAP', 'ECE'], ['NITK', 'CSE'], ['NITAP', 'CSE']]","Sorry, you got no seat",0
XYZ0091,student3129,M,Res,No,4290,"[['NITB', 'CSE'], ['NITK', 'ECE'], ['NITT', 'CSE'], ['SVNIT', 'ECE'], ['NITAP', 'CSE'], ['NITAP', 'CSE'], ['NITK', 'MECH'], ['NITG', 'MECH']]","Sorry, you got no seat",0
XYZ0091,student3779,M,Res,No,3571,"[['SVNIT', 'CIVIL'], ['NITC', 'CSE'], ['NITB', 'CSE'], ['NITC', 'CSE'], ['NITB', 'MECH'], ['NITB', 'MECH'], ['MNNIT', 'MECH'], ['NITK', 'ECE']]","Sorry, you got no seat",0
XYZ0091,student747,M,Res,No,309,"[['NITAP', 'CSE'], ['NITC', 'ECE'], ['NITT', 'MECH'], ['NITC', 'MECH'], ['NITB', 'ECE'], ['NITG', 'CSE'], ['NITAP', 'ECE']]","['NITAP', 'CSE']",1
XYZ0092,student969,F,Gen,No,3314,"[['VNIT', 'CSE'], ['NITT', 'MECH'], ['NITAP', 'ECE'], ['NITC', 'ECE']]","Sorry, you got no seat",0
XYZ0092,student4675,M,Res,No,2436,"[['SVNIT', 'AGRI'], ['NITG', 'MECH'], ['VNIT', 'ECE'], ['SVNIT', 'CSE']]","['SVNIT', 'AGRI']",1
XYZ0093,student2865,M,Gen,No,2358,"[['NITG', 'AGRI'], ['NITK', 'CSE'], ['NITT', 'MECH'], ['NITC', 'CSE']]","Sorry, you got no seat",0
XYZ0095,student2968,M,Gen,No,787,"[['NITT', 'CSE'], ['NITG', 'MECH'], ['NITB', 'CSE'], ['SVNIT', 'CSE'], ['MNNIT', 'MECH'], ['NITB', 'MECH'], ['VNIT', 'MECH'], ['NITG', 'MECH']]","['NITT', 'CSE']",1
XYZ0095,student4787,F,Gen,No,3511,"[['NITG', 'AGRI'], ['NITK', 'ECE'], ['NITAP', 'ECE']]","Sorry, you got no seat",0
